상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
21889280,에릭케제르,서소문동,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11140,중구,1114052000,소공동,1114016600,서소문동,1.11402E+18,1,대지,34,,서울특별시 중구 서소문동 34,1.11403E+11,서울특별시 중구 서소문로,125,,1.11402E+24,,서울특별시 중구 서소문로 125,100813,4515,,,,126.9749289,37.56368652
3426986,모리도너츠,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11140,중구,1114055000,명동,1114012600,명동1가,1.11401E+18,1,대지,42,1,서울특별시 중구 명동1가 42-1,1.11404E+11,서울특별시 중구 명동7길,20,,1.11401E+24,,서울특별시 중구 명동7길 20,100021,4534,,1,,126.9843903,37.56462428
20331230,맥도날드서울시청점,서울시청점,Q,음식,Q07,패스트푸드,Q07A04,패스트푸드,I56199,그외 기타 음식점업,11,서울특별시,11140,중구,1114055000,명동,1114010400,을지로1가,1.11401E+18,1,대지,32,,서울특별시 중구 을지로1가 32,1.11404E+11,서울특별시 중구 남대문로9길,51,,1.11401E+24,효덕빌딩,서울특별시 중구 남대문로9길 51,100842,4523,,1,,126.9794819,37.56680753
23353914,제일상회,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114060500,을지로동,1114016000,인현동1가,1.11402E+18,1,대지,77,1,서울특별시 중구 인현동1가 77-1,1.11404E+11,서울특별시 중구 을지로18길,41,,1.11402E+24,,서울특별시 중구 을지로18길 41,100281,4549,,1,,126.994204,37.56463622
21877519,파리바게뜨,충무로진양지점,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11140,중구,1114059000,광희동,1114013200,충무로4가,1.11401E+18,1,대지,120,3,서울특별시 중구 충무로4가 120-3,1.11403E+11,서울특별시 중구 퇴계로,217,,1.11401E+24,"진양상가,진양아파트",서울특별시 중구 퇴계로 217,100713,4558,,,,126.9959203,37.56242525
20595697,다락방,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114055000,명동,1114010200,다동,1.11401E+18,1,대지,116,,서울특별시 중구 다동 116,1.11404E+11,서울특별시 중구 남대문로9길,10,,1.11401E+24,,서울특별시 중구 남대문로9길 10,100180,4522,,1,,126.9818706,37.56679211
25858367,신당동떡스떡스,,Q,음식,Q04,분식,Q04A03,떡볶이전문,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114055000,명동,1114012500,충무로2가,1.11401E+18,1,대지,66,6,서울특별시 중구 충무로2가 66-6,1.11404E+11,서울특별시 중구 명동8가길,11,,1.11401E+24,,서울특별시 중구 명동8가길 11,100861,4536,,,,126.9856503,37.56185991
25878672,김학정과자점,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11140,중구,1114062500,다산동,1114016200,신당동,1.11402E+18,1,대지,361,30,서울특별시 중구 신당동 361-30,1.11404E+11,서울특별시 중구 동호로11길,29,,1.11402E+24,충현빌딩,서울특별시 중구 동호로11길 29,100828,4598,,1,,127.0094915,37.55388986
25861454,김밥천국,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114055000,명동,1114012300,회현동3가,1.11401E+18,1,대지,1,5,서울특별시 중구 회현동3가 1-5,1.11403E+11,서울특별시 중구 퇴계로,116,1,1.11401E+24,삼영빌딩,서울특별시 중구 퇴계로 116-1,100053,4631,,11,,126.9846155,37.5605445
25862063,슈니발렌,,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11140,중구,1114052000,소공동,1114011100,소공동,1.11401E+18,1,대지,1,,서울특별시 중구 소공동 1,1.11403E+11,서울특별시 중구 을지로,30,,1.11401E+24,롯데호텔,서울특별시 중구 을지로 30,100721,4533,,35,,126.9809849,37.56533379
