상호명,상권업종중분류명,위도,경도
포마토김밥,분식,37.55902745,126.9800521
예지분식,분식,37.56461644,126.9845263
성찬성가정,분식,37.56034908,126.9807585
서유기,분식,37.56277704,126.9927915
행복한도시락,분식,37.55656365,126.9953538
봉평웰빙메밀막국수,분식,37.55350274,127.0095306
엘림분식,분식,37.5612193,126.995031
요기,분식,37.56900236,126.9759315
민들레칼국수,분식,37.55576523,127.0128621
김밥천국,분식,37.55827596,126.9775497
참분식,분식,37.55938869,126.9728713
엄마손김밥,분식,37.54720778,127.0056418
장충떡볶기,분식,37.56127238,127.0055567
작은분식,분식,37.56217029,126.9934901
신당떡방아간,제과제빵떡케익,37.56403707,127.0107382
선산상사,패스트푸드,37.56611267,127.0004212
왕십리복떡,제과제빵떡케익,37.5652642,127.019585
K.M피자,패스트푸드,37.55897603,127.0153891
WonderBread,분식,37.56286224,126.9901077
한솥,패스트푸드,37.56739927,127.0130482
멸치국수,분식,37.56135857,127.0180063
덕성손칼국수,분식,37.55706769,126.9816181
진미분식,분식,37.56649473,127.0158674
공가네김밥,분식,37.56165165,126.9950138
로봇김밥,분식,37.56785395,126.981709
보네스뻬,제과제빵떡케익,37.554719,126.9695061
부산뉴욕제과,제과제빵떡케익,37.55911364,126.9795982
장칼국수,분식,37.56544968,127.0029996
오뚜기분식,분식,37.55883788,126.9789681
멜리스,분식,37.5587088,126.9796716
오뗄두스,제과제빵떡케익,37.56090951,126.9809659
신라명과,제과제빵떡케익,37.56154368,126.9709741
민정이네,분식,37.55658158,126.9671489
잠두매점,분식,37.55378859,126.9837905
배꼽시계,분식,37.55332747,127.0090463
중앙분식,분식,37.56246769,126.9934974
짱구휴게실,분식,37.55901983,126.9781281
밀밭손칼국시,분식,37.56601639,127.0190205
분식당,분식,37.56034908,126.9807585
일등수제비,분식,37.56610416,127.0209097
박가칼국수,분식,37.56234408,126.9780601
석봉토스트,패스트푸드,37.55358818,127.0089749
롯데리아,패스트푸드,37.56155063,126.9842623
FORTUNE,패스트푸드,37.56459324,127.0050825
북촌유기농명인단팥빵,제과제빵떡케익,37.55806392,126.9728442
석천칼국수,분식,37.55648603,126.9936458
김밥나라,분식,37.56458892,127.0174772
벽산매점,분식,37.56412103,127.0046473
평안도떡집,제과제빵떡케익,37.56255355,126.9951149
청계분식,분식,37.57012892,127.0183893
황가네에프에스,분식,37.56034908,126.9807585
레빠니,패스트푸드,37.55744002,126.9694912
더컵,패스트푸드,37.56930975,127.0130796
파리바케트,제과제빵떡케익,37.55914934,126.9984996
첼로,분식,37.56246067,126.9947879
그린분식,분식,37.5629565,126.9759463
개미분식,분식,37.56678246,126.9797087
김밥나라,분식,37.56424773,127.0197908
소문난왕만두찐빵,제과제빵떡케익,37.56560966,127.0221274
옛날홍두깨손칼국수,분식,37.55249359,127.0106078
자연을담은김밥,분식,37.55274441,127.0082844
신세계분식소매,분식,37.55704459,126.9810299
인터파크수,분식,37.56260762,127.0186804
배가당떡집,제과제빵떡케익,37.55433398,127.0098026
바른분식,분식,37.56255397,127.0165644
또래오래참피자,패스트푸드,37.55321889,127.0111415
한불문화재단알리앙스프랑세즈,제과제빵떡케익,37.55838757,126.9810795
파란하늘,분식,37.55726452,127.0111333
회림만두집,분식,37.55792284,126.9783921
싱싱슈퍼,분식,37.56044239,127.0118723
멘하탄제과,제과제빵떡케익,37.56365835,126.9810417
장칼국수,분식,37.56540549,127.0031021
김밥천국,분식,37.55493894,127.009953
장충김밥,분식,37.56123258,127.0061798
죠샌드위치,패스트푸드,37.5631349,126.969526
식도락왕만두,분식,37.55874895,126.9770226
한솥도시락,패스트푸드,37.55810315,126.9690747
파파존스피자,패스트푸드,37.55808235,127.0076591
소미미,분식,37.56584352,126.983672
탈북여성지원지에프에스,분식,37.56754763,126.9754647
초동손칼국수,분식,37.56413388,126.9923544
불닭발동대문엽기떡볶이동대,분식,37.56604666,127.0064781
SRSKFC서소문,패스트푸드,37.56454754,126.9765471
책빵집,제과제빵떡케익,37.54708241,127.005734
던킨도너츠,제과제빵떡케익,37.56792,126.9831004
던킨도너츠,패스트푸드,37.56044846,127.0201688
오렌지분식,분식,37.5519075,127.010559
낙원분식,분식,37.56220675,126.9840723
남양유업피자피아띠,패스트푸드,37.56476059,126.9845243
롯데리아,패스트푸드,37.56103904,126.9844956
인성,분식,37.56736664,126.996352
청강주택,분식,37.56686688,126.9832279
성신제피자,패스트푸드,37.5638224,126.9833486
미가도시락,패스트푸드,37.5612631,126.9875034
델리카슈,패스트푸드,37.55549473,126.9737396
오천양분식,분식,37.56290138,126.9768639
라멘만땅명동1호점,분식,37.56471871,126.9838457
삼다도,분식,37.56307972,126.9776878
명동궁만두,분식,37.56476059,126.9845243
카츠라,분식,37.56301033,126.9821711
수미도시락,패스트푸드,37.56471871,126.9838457
미스터도넛,패스트푸드,37.55260681,127.0090671
사랑방분식,분식,37.56313945,126.9783435
신규테스트,분식,37.56169526,126.9874636
에스팩토리,분식,37.56372751,126.9775771
빨강떡,제과제빵떡케익,37.55908599,126.9858011
